roll,pitch,yaw
0.994478211196501,0.6692150513278264,213.05629374358617
0.9947012595615843,0.670695334747868,213.05349336602646
1.0385463782780118,0.7556259623126262,212.8786268628958
1.1496645914508337,0.6968920984226288,212.74722768364308
1.255371480532007,0.6786921522446306,212.50569853421308
1.3769252622612562,0.7271056536595918,212.43674094435264
1.527649821440278,0.7065178626755866,212.29087542443784
1.6220386601799173,0.8255904181062701,212.17421579341402
1.7284125599222246,0.8890530140577377,212.02401993356546
1.5862533781275163,0.9169709320424889,211.80038587976088
1.606245661993261,0.9255433530593838,211.63845575491823
1.6778032060499575,1.0011254793628044,211.53372163418524
1.6783057585624823,1.110850654110061,211.3848371706573
1.5705885527095036,1.078861569854012,211.18837360937107
1.6080775400729996,0.9594832033754118,211.0632035626414
1.4695445483973333,0.949522973296535,210.8569864912204
1.594460704188933,0.9568423747658499,210.64413047592612
1.596461309285512,0.9441439858817383,210.5777137164369
1.6323992033771804,0.8975515302933791,210.5365140153634
1.6135690121656898,0.9404614467020437,210.44865046188036
1.6294535775759065,0.9826452286245714,210.27498607204362
