roll,pitch,yaw
1.1062343000047785,0.4839873646696623,163.56458911104636
1.115566793010249,0.5080626609160465,163.55516344999174
1.1235789250717914,0.5350331569577227,163.54206314716365
1.1309722846832129,0.5615996579821634,163.52752850460988
1.140402534771179,0.5912670115289369,163.51004322033464
1.1490057983610447,0.6168271268678585,163.49829529496222
1.1585252677950442,0.641248948492915,163.49076842649686
1.167342935291825,0.6639550052541232,163.38596600387217
1.1742875301304354,0.688047590416844,163.2882259968493
1.1842958916986197,0.710198107338607,163.196496556296
1.1920221163103735,0.7338963557984653,163.12073609802223
1.199090188162573,0.7538668684362306,163.0516828855134
1.206617163349633,0.7722887424014013,162.983449295705
1.2102633104276561,0.7924786748662532,162.92115797047447
1.2182587939030964,0.8136508739111176,162.85310196558447
1.222532784776232,0.8277174884242001,162.78937630062825
1.2257726423203452,0.8349499650641561,162.72723523955946
1.2275582031797747,0.8429869632831455,162.69453229381344
1.232824919360089,0.8513823863510018,162.68264776465762
1.2362291283311058,0.8584319953481012,162.68969651988107
1.238739436294497,0.8643484332732132,162.71026904966115
